b 15.0_140.76 S410S 156.21 S660S 232.814
b 15.0_15.64 S410S 155.51 S660S 227.814
b 15.0_211.14 S410S 158.11 S660S 227.314
b 15.0_218.96 S410S 158.51 S660S 227.514
b 15.0_234.60 S410S 158.01 S660S 227.714
b 15.0_242.42 S410S 156.91 S660S 226.114
b 15.0_304.98 S410S 156.61 S660S 227.214
b 15.0_312.80 S410S 157.51 S660S 227.814
b 15.0_320.62 S410S 157.01 S660S 227.714
b 15.0_328.44 S410S 157.31 S660S 227.714
b 15.0_336.26 S410S 154.81 S660S 225.514
b 22.5_106.34 S410S 158.41 S660S 230.514
b 22.5_114.52 S410S 158.01 S660S 229.514
b 22.5_122.70 S410S 154.91 S660S 229.214
b 22.5_130.88 S410S 155.61 S660S 230.914
b 22.5_139.06 S410S 155.71 S660S 232.814
b 22.5_179.96 S410S 158.31 S660S 228.814
b 22.5_188.14 S410S 158.71 S660S 228.214
b 22.5_196.32 S410S 158.31 S660S 227.114
b 22.5_229.04 S410S 158.91 S660S 227.914
b 22.5_237.22 S410S 157.71 S660S 226.914
b 22.5_245.40 S410S 156.61 S660S 225.914
b 22.5_253.58 S410S 156.31 S660S 225.914
b 22.5_319.02 S410S 158.51 S660S 227.414
b 22.5_327.20 S410S 157.51 S660S 227.414
b 22.5_335.38 S410S 156.01 S660S 226.514
b 30.0_119.98 S410S 157.01 S660S 230.514
b 30.0_231.39 S410S 158.61 S660S 228.214
b 30.0_248.53 S410S 157.51 S660S 227.214
b 37.5_123.11 S410S 156.81 S660S 230.014
b 37.5_132.58 S410S 156.51 S660S 228.614
b 37.5_142.05 S410S 157.51 S660S 228.214
b 37.5_18.94 S410S 155.21 S660S 228.914
b 37.5_331.45 S410S 155.11 S660S 226.314
b 37.5_340.92 S410S 154.11 S660S 226.314
b 45.0_116.38 S410S 157.11 S660S 228.414
b 45.0_211.60 S410S 159.91 S660S 228.614
b 45.0_275.08 S410S 158.31 S660S 228.714
b 45.0_317.40 S410S 153.21 S660S 222.614
b 52.5_0 S410S 154.11 S660S 225.214
b 52.5_223.38 S410S 158.61 S660S 227.114
b 52.5_273.02 S410S 158.11 S660S 228.414
b 52.5_310.25 S410S 153.11 S660S 223.114
b 52.5_322.66 S410S 153.61 S660S 223.414
b 52.5_347.48 S410S 153.51 S660S 223.814
b 52.5_37.23 S410S 154.01 S660S 226.414
b 52.5_49.64 S410S 153.51 S660S 226.314
b 52.5_62.05 S410S 155.41 S660S 227.314
