0.261_1.95 -223.121 0.493524 -0.564767 0.0202191 121.731 11.9435 1762.06 87.5154
0.261_2.10 -224.688 0.770647 -0.480133 0.0801535 97.7225 10.1037 1802.05 65.0919
0.261_2.25 -225.289 0.537326 -0.590033 0.0308339 179.54 18.2223 4638.43 94.3787
0.261_2.40 -227.56 0.812917 -0.551867 0.0279747 270.148 19.5048 5678.27 113.229
0.261_2.55 -224.851 0.605297 -0.679467 0.0185378 217.117 14.1639 2730.56 62.2044
0.261_2.70 -224.943 1.36277 -0.6763 0.0346926 85.3301 9.86942 1445.03 41.7307
0.261_2.85 -221.878 0.440338 -0.671633 0.0793133 65.5214 8.66695 1128.15 40.0052
0.261_3.00 -222.255 1.36486 -0.627433 0.0517456 84.0564 11.7851 1820.49 51.8709
0.261_3.15 -223.612 1.04136 -0.598 0.0679534 108.552 13.9823 2288.75 63.948
0.261_3.30 -223.531 0.5874 -0.557333 0.0340963 103.681 11.5693 1702.24 54.5966
0.261_3.45 -222.59 0.52934 -0.5664 0.0247825 106.659 9.88854 1628.56 59.0429
0.261_3.60 -223.773 0.447688 -0.5734 0.0260302 181.929 17.6292 3848.16 77.2154
0.261_3.75 -223.435 0.417303 -0.603633 0.0321465 335.872 27.6202 8105.93 129.692
0.261_3.90 -223.682 0.272378 -0.5813 0.0246355 513.949 28.9557 10706.1 105.529
0.261_4.05 -223.649 0.328622 -0.526467 0.0209789 441.81 25.7261 7663.43 97.2994
0.261_4.20 -222.004 0.594063 -0.526367 0.0322314 279.449 15.579 3949.37 89.078
0.261_4.35 -222.037 0.481537 -0.5777 0.0545171 254.796 16.8364 4707.07 106.617
0.261_4.50 -223.356 0.863035 -0.599767 0.0524799 135.247 12.399 3231.33 94.5632
0.261_4.65 -222.729 1.40355 -0.581433 0.0867303 61.3821 10.821 1627.37 84.6196
0.261_4.80 -228.392 5.05354 -0.3003 0.199354 22.196 4.15172 480.531 38.4627
0.261_4.95 -220.233 2.78216 -0.5894 0.130152 53.6678 6.42878 1354.62 50.7533
0.261_5.10 -222.833 1.50506 -0.372333 0.125582 112.92 13.3461 2072.51 56.8322
0.261_5.25 -221.158 0.766517 -0.642733 0.0290917 158.63 12.182 2696.43 78.5903
0.261_5.40 -223.94 1.14001 -0.513133 0.0372485 295.523 17.9718 4221.42 89.263
0.261_5.55 -225.687 2.83509 -0.445167 0.0905482 352.152 18.0787 5474.1 111.832
0.261_5.70 -223.356 1.25351 -0.527133 0.0428453 265.119 15.9172 4440.92 101.049
0.261_5.85 -220.936 1.03627 -0.539767 0.0421364 140.349 11.5753 2551.36 85.3448
0.392_0 -221.377 3.19553 -0.480533 0.13237 55.2459 7.34646 1607.73 97.1857
0.392_0.17 -217.95 2.74351 -0.6444 0.092936 76.0974 9.53665 1732.08 97.4621
0.392_0.34 -225.662 1.44796 -0.420933 0.0611773 64.3936 9.91836 1715.21 61.7195
0.392_0.51 -226.511 1.48688 -0.394367 0.0812383 71.6531 9.73778 2119.92 73.7052
