file,lat,lon,410pred,410err,410amp,410qual
19940525A.indonesia.GSC.BHT,35.3027992249,-116.808296204,-154.723721123,0.0933513780655,0.212164174882,0.78
19940529A.myanmar.ANMO.BHT,34.9458999634,-106.457199097,-154.541584707,0.157810375295,0.167162376528,0.7525
19940605A.taiwan.CCM.BHT,38.0556983948,-91.2445983887,-162.801557239,0.09850419681700001,0.151655801806,0.615
19940606A.colombia.ARU.BHT,56.4301986694,58.5625,-158.46494736,0.264009389116,0.118152578965,0.7475
19940606A.colombia.DRV.BHT,-66.6649093628,140.002075195,-153.608607926,0.10702512462899999,0.15357148080900002,0.8425
19940606A.colombia.MAJO.BHT,36.5456695557,138.204055786,-154.956715134,0.08021093656360001,0.167314546836,0.66
19940618A.newzealand.HRV.BHT,42.506401062,-71.5582962036,-150.079549466,0.13878483679300002,0.0546431186883,0.6925
19940618A.newzealand.KOND.BHT,-4.90399980545,35.7965011597,-152.801155175,0.16945426515700002,0.10730334736500001,0.92
19940618A.newzealand.MBWE.BHT,-4.96099996567,34.3461990356,-155.595078956,0.111957289954,0.140587207553,0.7
19940618A.newzealand.MTOR.BHT,-5.25080013275,35.4006996155,-150.66977209200002,0.133478194532,0.100216762093,0.6225
19940618A.newzealand.SING.BHT,-4.64029979706,34.7314987183,-155.675649335,0.09876172380519999,0.130386770844,0.735
19940618A.newzealand.TARA.BHT,-3.88919997215,36.0163002014,-158.05008875,0.12227745942399999,0.188306868277,0.7125
19940724A.vanuatu.EKS2.BHT,42.6614990234,73.7771987915,-157.166182682,0.148586521273,0.229570445964,0.7725
19940724A.vanuatu.ESK.BHT,55.3166999817,-3.20499992371,-157.85411808799998,0.743387570246,0.193340716256,0.6175
19940724A.vanuatu.FRB.BHT,63.7468986511,-68.5450973511,-150.47361624299998,0.25826186445099997,0.08945788440460001,0.7425
19940724A.vanuatu.RIFB.BHT,-20.0736999512,-47.5018997192,-163.206660722,0.349878412719,0.169742501418,0.6375
19940804A.indonesia.KEV.BHT,69.7565002441,27.0034999847,-161.29273352299998,0.22458801182799998,0.0900983038754,0.7725
19940818A.kuril.CACB.BHT,-21.6802005768,-46.7326011658,-158.76745109200002,0.31745047159699996,0.12443800851299999,0.825
19940818A.kuril.DOOR.BHT,-19.3537998199,-67.2232971191,-155.335232408,0.168731663946,0.165558592543,0.6725
19940820A.kuril.RUNG.BHT,-6.93720006943,33.5180015564,-158.61441895299998,0.250331245719,0.30351705524,0.745
19940828A.kuril.IBIB.BHT,-21.7772006989,-48.8138999939,-160.735870078,0.213208886206,0.117380305778,0.6025
19940828A.kuril.SYO.BHT,-69.0066986084,39.5849990845,-161.802307014,0.117064657377,0.112649784605,0.885
19940903A.vanuatu.BRVK.BHT,53.0579986572,70.2827987671,-158.447867509,0.360271445269,0.0999196391198,0.6
19940903A.vanuatu.ZRN.BHT,52.9510002136,69.0043029785,-148.974047243,0.132841189808,0.062316329276099994,0.6675
19940912A.california.BB10.BHT,29.9973773956,90.4142379761,-157.014327027,0.134498206262,0.372040121986,0.6475
19940913A.colombia.NRIL.BHT,69.5048980713,88.4413986206,-153.30003237100001,0.11335639091600001,0.22404904026500003,0.71
19940913A.colombia.TLY.BHT,51.6806983948,103.643798828,-149.883918052,0.28447250421,0.118678611797,0.6275
19940913A.japan.OLIB.BHT,-20.8792991638,-48.9305992126,-160.828559551,0.11763838243699999,0.283873749629,0.755
19941001A.vanuatu.RIFB.BHT,-20.0736999512,-47.5018997192,-159.005830113,0.143173733477,0.168865715918,0.6025
19941008A.indonesia.PPDB.BHT,-22.0326004028,-51.3135986328,-159.259894529,0.266883004734,0.125242223058,0.7
19941013A.indonesia.RIFB.BHT,-20.0736999512,-47.5018997192,-161.058781556,0.135861614888,0.117862799736,0.625
19941013A.indonesia.TSUM.BHT,-19.2021999359,17.5837993622,-150.135352733,0.187037963738,0.14935782322399999,0.815
19941015A.png.TRIB.BHT,-20.6723995209,-51.3260002136,-160.85151372200002,0.0793019092156,0.22779176607299997,0.6725
19941114A.philippine.PFO.BHT,33.6091995239,-116.455299377,-149.387418373,0.0959806621837,0.117594311349,0.6025
19941120A.indonesia.AGVB.BHT,-19.7392997742,-50.2331008911,-160.522546748,0.22560851631700002,0.207366129014,0.8675
19941120A.indonesia.SDV.BHT,8.88389968872,-70.6340026855,-151.774626646,0.203115884036,0.123726753796,0.855
19941215A.newzealand.BGIO.BHT,31.7219009399,35.0876998901,-158.885044545,0.131684148012,0.15651165278100002,0.6325
19950101A.japan.RIFB.BHT,-20.0736999512,-47.5018997192,-158.272263511,0.151004168683,0.055836822339500006,0.7625
19950101A.japan.SING.BHT,-4.64029979706,34.7314987183,-159.851366716,0.19950145917,0.170459513645,0.9175
19950101A.japan.SPA.BHT,-89.9953994751,115.0,-156.73586642,0.273374391767,0.109247421704,0.7275
19950116A.honshu.CRZF.BHT,-46.4300003052,51.861000061,-152.413953809,0.136282236569,0.129716335624,0.6925
19950116A.honshu.TRIB.BHT,-20.6723995209,-51.3260002136,-154.344571113,0.0986765931868,0.127606099867,0.635
19950127A.indonesia.AGVB.BHT,-19.7392997742,-50.2331008911,-162.504688542,0.160858820348,0.08140963655899999,0.6425
19950127A.indonesia.MDT.BHT,32.8170013428,-4.6139998436,-157.229111564,0.04757166966580001,0.10119037241699999,0.605
19950127A.indonesia.SSB.BHT,45.2789993286,4.54199981689,-157.215628879,0.114852271586,0.325820726367,0.7125
19950203A.balleny.BJT.BHT,40.0182991028,116.167900085,-150.318165192,0.29516758664299997,0.0565615225139,0.9525
19950203A.balleny.TKM2.BHT,42.9207992554,75.5966033936,-156.095038691,0.11424481253900001,0.13948542150999999,0.81
