file,410pred,410err,410amp,410qual,660pred,660err,660amp,660qual
30_0,-154.176732132,0.149539911586,197.380648357,0.8375,-225.583402635,0.13198632131899998,206.46781617599999,0.8475
30_102.84,-156.855072249,0.10046066201300001,487.867739285,0.93,-229.101887148,0.137012974494,381.954274236,0.915
30_119.98,-156.78703614,0.08011056660419999,730.839681238,0.8675,-229.923891459,0.121823478972,625.5846084330001,0.9275
30_137.12,-156.32807548,0.126641546483,691.350341833,0.9475,-230.530776897,0.12481322777699999,587.531318996,0.89
30_154.26,-157.08723663799998,0.13217025046599998,786.075525315,1.0025,-228.28668848200002,0.11439463275299999,789.255250705,0.9425
30_17.14,-155.169984236,0.199471036908,280.664316714,0.8125,-228.363450925,0.307677142455,284.077611328,0.985
30_171.40,-157.935190146,0.0847117941491,1939.41001064,0.9575,-228.35479785200002,0.128048627946,1674.56177774,0.9375
30_188.54,-157.936374333,0.07014135642960001,2942.12830405,0.9025,-228.07430203799998,0.15026830445699998,2376.96687789,0.9475
30_205.68,-157.830522169,0.129929470437,2420.67831485,0.9775,-227.55475506599998,0.0638949193105,1878.51131734,0.865
30_222.82,-158.433710474,0.148868553801,1329.741056,1.03,-227.67970815700002,0.20581887450999997,1164.29681971,1.0175
30_239.96,-158.060419071,0.11353558908299999,607.249955734,0.69,-227.244130255,0.148346607228,818.19806899,0.885
30_257.10,-156.883580823,0.056848984434500004,346.85596443800006,0.6875,-226.792981481,0.130710579148,361.55586662,0.925
30_274.24,-156.309483527,0.196403920905,212.938729975,0.9475,-227.17463616400002,0.0911114875904,147.657371845,0.8675
30_291.38,-157.071947422,0.10225135939999999,294.8950373,0.8175,-226.123618902,0.132904858351,289.154264078,0.965
30_308.52,-157.819124002,0.12152471762700001,352.57795454800004,0.9625,-227.083009637,0.130021637478,312.617269642,0.875
30_325.66,-156.330023968,0.165523967907,574.508151432,0.965,-226.988068142,0.160139011309,649.619676739,0.9225
30_34.28,-155.649322574,0.12994035340600002,147.99494073600002,0.76,-229.749991995,0.137380951527,143.077176338,0.555
30_342.80,-154.86640045,0.141926513806,447.74231042300005,0.95,-226.36411029099997,0.155847937458,475.26329775199997,0.9325
