19910303A.tonga.GRA1.BHT.s_fil 53.01 171.03
19910303A.tonga.HRV.BHT.s_fil 16.21 -131.60
19910308A.russia.DRV.BHT.s_fil -2.96 154.93
19910308A.russia.TNV.BHT.s_fil -6.90 166.00
19910326A.taiwan.UNM.BHT.s_fil 46.93 -167.56
19910405A.peru.WUS.BHT.s_fil 52.21 -32.45
19910424A.costarica.KEG.BHT.s_fil 33.87 -31.66
19910424A.costarica.MAJO.BHT.s_fil 49.23 -137.67
19910513A.indianocean.ALE.BHT.s_fil 46.14 78.02
19910513A.indianocean.CCM.BHT.s_fil 67.52 62.02
19910610A.atlantic.DRV.BHT.s_fil -44.60 -49.45
19910610A.atlantic.ERM.BHT.s_fil 78.83 -76.75
19910610A.atlantic.INU.BHT.s_fil 83.82 -64.18
19910610A.atlantic.MAJO.BHT.s_fil 82.90 -69.19
19910610A.atlantic.TSK.BHT.s_fil 82.19 -79.85
19910615A.southsandwich.AQU.BHT.s_fil -8.43 -2.14
19910615A.southsandwich.BGY.BHT.s_fil -7.31 1.63
19910615A.southsandwich.OBN.BHT.s_fil -1.87 7.57
19910702A.sumatera.CCM.BHT.s_fil 65.41 133.42
19910704A.indonesia.ALE.BHT.s_fil 44.60 125.74
19910704A.indonesia.ANMO.BHT.s_fil 28.46 177.92
19910704A.indonesia.COR.BHT.s_fil 29.78 167.02
19910704A.indonesia.HRV.BHT.s_fil 56.80 160.76
19910704A.indonesia.ISA.BHT.s_fil 24.80 173.94
19910704A.indonesia.PAS.BHT.s_fil 23.68 174.87
19910704A.indonesia.SBC.BHT.s_fil 23.47 174.19
19910704A.indonesia.TAM.BHT.s_fil 14.25 68.64
19910713A.oregon.CAN.BHT.s_fil 4.68 -170.86
19910713A.oregon.DRV.BHT.s_fil -16.85 -154.69
19910808A.minahassa.AQU.BHT.s_fil 33.91 79.99
19910808A.minahassa.BNI.BHT.s_fil 37.72 80.08
19910808A.minahassa.GSC.BHT.s_fil 33.08 172.86
19910808A.minahassa.HRV.BHT.s_fil 64.02 155.06
19910808A.minahassa.PAS.BHT.s_fil 31.72 173.10
19910808A.minahassa.SSB.BHT.s_fil 38.62 79.81
19910808A.minahassa.UNM.BHT.s_fil 26.64 -172.60
19910814A.vanuatu.ALE.BHT.s_fil 40.23 174.02
19910814A.vanuatu.ECH.BHT.s_fil 51.23 134.68
19910814A.vanuatu.KONO.BHT.s_fil 49.41 147.02
19910814A.vanuatu.SSB.BHT.s_fil 52.68 133.18
19910814A.vanuatu.TOL.BHT.s_fil 59.40 139.99
19910816A.california.CAN.BHT.s_fil 4.36 -170.56
19910816A.california.DRV.BHT.s_fil -17.18 -154.33
19910816A.california.RER.BHT.s_fil 58.46 60.39
19910817A.california.CAN.BHT.s_fil 4.46 -170.60
19910817A.california.CTAO.BHT.s_fil 14.93 -175.95
19910817A.california.DRV.BHT.s_fil -17.09 -154.37
19910918A.guatemala.AAK.BHT.s_fil 71.27 -55.25
19910918A.guatemala.DRV.BHT.s_fil -40.42 -114.19
19910918A.guatemala.TLY.BHT.s_fil 68.89 -114.07
19910921A.tonga.AQU.BHT.s_fil 58.61 166.95
19910921A.tonga.HRV.BHT.s_fil 19.99 -131.44
19910921A.tonga.OBN.BHT.s_fil 44.92 155.64
19910921A.tonga.SUR.BHT.s_fil -73.21 131.88
19911101A.newzealand.ALE.BHT.s_fil 30.83 -169.70
19911101A.newzealand.HRV.BHT.s_fil 10.08 -130.84
19911211A.pacific.ARU.BHT.s_fil 52.47 -108.54
19911211A.pacific.KIV.BHT.s_fil 45.30 -73.09
19911211A.pacific.KONO.BHT.s_fil 35.69 -84.02
19911211A.pacific.OBN.BHT.s_fil 44.87 -85.34
19911211A.pacific.SSB.BHT.s_fil 25.49 -70.46
19911228A.southsandwich.ALE.BHT.s_fil 13.61 -31.59
19911228A.southsandwich.AMDO.BHT.s_fil -20.85 51.79
19911228A.southsandwich.ANMO.BHT.s_fil -13.71 -74.92
19911228A.southsandwich.BUDO.BHT.s_fil -18.75 52.05
19911228A.southsandwich.CTAO.BHT.s_fil -71.28 133.55
19911228A.southsandwich.ECH.BHT.s_fil -4.12 -7.33
19911228A.southsandwich.KONO.BHT.s_fil 1.84 -8.44
19911228A.southsandwich.MAQI.BHT.s_fil -21.20 58.07
19911228A.southsandwich.OBN.BHT.s_fil -0.59 6.34
19911228A.southsandwich.PFO.BHT.s_fil -15.65 -82.10
19920206A.indonesia.HRV.BHT.s_fil 64.84 88.52
19920206A.indonesia.TOL.BHT.s_fil 26.98 59.55
19920213A.vanuatu.ECH.BHT.s_fil 48.70 131.25
19920213A.vanuatu.HRV.BHT.s_fil 25.43 -146.12
19920213A.vanuatu.SSB.BHT.s_fil 49.91 129.33
19920213A.vanuatu.TOL.BHT.s_fil 56.54 134.08
19920226A.owenfracture.COL.BHT.s_fil 60.63 74.80
19920227A.png.SSB.BHT.s_fil 44.81 103.34
19920227A.png.SSB2.BHT.s_fil 44.81 103.34
19920302A.kamchatka.DRV.BHT.s_fil -6.89 152.03
19920302A.kamchatka.SPA.BHT.s_fil -18.47 159.88
19920313A.turkey.CAN.BHT.s_fil 3.83 96.66
19920313A.turkey.DRV.BHT.s_fil -19.22 68.79
19920313A.turkey.KIP.BHT.s_fil 73.09 152.19
19920403A.png.CCM.BHT.s_fil 28.76 -161.06
19920403A.png.HRV.BHT.s_fil 40.44 -161.18
19920406A.vancouver.CAN.BHT.s_fil 9.99 -176.63
19920406A.vancouver.DRV.BHT.s_fil -10.95 -162.03
19920406A.vancouver.SUR.BHT.s_fil 29.29 -25.93
19920418A.sumatera.CCM.BHT.s_fil 59.90 142.62
19920418A.sumatera.HRV.BHT.s_fil 64.93 87.85
19920418A.sumatera.TOL.BHT.s_fil 27.13 59.42
19920423A.california.CTAO.BHT.s_fil 10.38 -169.11
19920423A.california.NWAO.BHT.s_fil 1.10 179.76
19920424A.pakistan.COR.BHT.s_fil 79.36 98.19
19920424A.pakistan.ISA.BHT.s_fil 84.47 105.79
19920424A.pakistan.PAS.BHT.s_fil 85.10 110.66
19920424A.pakistan.PFO.BHT.s_fil 86.23 99.69
19920424A.pakistan.SBC.BHT.s_fil 84.05 117.20
19920424A.pakistan.SCZ.BHT.s_fil 82.50 114.84
19920426A.california.RER.BHT.s_fil 59.21 56.17
19920426A.california.TAM.BHT.s_fil 54.95 -47.91
19920518A.panama.CTAO.BHT.s_fil -15.09 -144.56
19920518A.panama.NWAO.BHT.s_fil -50.19 -136.76
19920518A.panama.WUS.BHT.s_fil 65.05 -41.80
19920525A.cuba.AMDO.BHT.s_fil 77.72 -23.77
19920525A.cuba.CAN.BHT.s_fil -18.88 -135.00
19920525A.cuba.CTAO.BHT.s_fil -0.63 -145.55
19920525A.cuba.ERM.BHT.s_fil 58.34 -129.74
19920525A.cuba.GUMO.BHT.s_fil 39.27 -148.73
19920525A.cuba.HYB.BHT.s_fil 58.59 2.02
19920525A.cuba.INU.BHT.s_fil 59.39 -137.44
19920525A.cuba.MAQI.BHT.s_fil 82.30 -65.01
19920525A.cuba.SPA.BHT.s_fil -35.15 -77.87
19920525A.cuba.TSK.BHT.s_fil 57.79 -136.13
19920525A.cuba.TUNL.BHT.s_fil 79.26 -42.04
19920525A.cuba.USHU.BHT.s_fil 81.54 -43.03
19920527A.santacruz.KEG.BHT.s_fil 22.50 106.76
19920527A.santacruz.KIV.BHT.s_fil 30.53 119.65
19920527A.santacruz.OBN.BHT.s_fil 39.24 129.66
19920527A.santacruz.SSB2.BHT.s_fil 52.73 128.98
19920527A.santacruz.TAM.BHT.s_fil 29.73 95.29
19920615A.myanmar.ANMO.BHT.s_fil 70.36 159.39
19920615A.myanmar.CCM.BHT.s_fil 80.80 132.60
19920615A.myanmar.HRV.BHT.s_fil 76.93 56.65
19920615A.myanmar.UNM.BHT.s_fil 71.53 -174.74
19920617A.southshetland.AAK.BHT.s_fil -19.22 32.28
19920617A.southshetland.ANMO.BHT.s_fil -13.88 -88.22
19920617A.southshetland.AQU.BHT.s_fil -10.90 -13.83
19920617A.southshetland.COL.BHT.s_fil 3.19 -97.96
19920617A.southshetland.COR.BHT.s_fil -9.36 -96.87
19920617A.southshetland.ECH.BHT.s_fil -7.15 -19.61
19920617A.southshetland.HLD.BHT.s_fil -11.69 -89.23
