file,410time,410error,410quality,660time,660error,660quality
19960611A.philippine.POP9.BHT,-146.95393630731473,0.12135771958908785,0.9425,-226.62256535615435,0.13563251085977418,0.7175
19960622A.bouvet.DEND.BHT,-157.75676143804714,0.16232049670227852,0.6775,-228.33996419052863,0.05750713020030027,0.68
19960622A.bouvet.KBS.BHT,-161.1771820273463,0.10815929932053306,0.685,-230.2876078926502,0.1453201336552311,0.9
19960622A.bouvet.ULN.BHT,-164.7274025279007,0.2373689861746717,0.6675,-233.92839816236324,0.12040610210993055,0.7175
19960622A.bouvet.VSG4.BHT,-156.982522329443,0.2171052019479124,0.8625,-227.75452743967801,0.13631473581447148,0.77
19960722A.minahassa.PAL.BHT,-164.0174405437835,0.13867379142333167,0.7525,-233.3660080744267,0.11408682462229135,0.78
19960725A.pacific.KIV.BHT,-161.2487436536841,0.10013289641148247,0.9175,-238.63576622156148,0.3660101972472625,0.77
19960725A.pacific.POP6.BHT,-152.52820290481074,0.09703695434000456,0.7,-227.2131656119146,0.10716151335620827,0.755
19960725A.pacific.POP7.BHT,-153.1683729133583,0.21407931843964634,0.9475,-226.02971663148972,0.16053013502356472,0.9375
19960730A.philippine.CARO.BHT,-157.9014221283717,0.19345838639456786,0.8375,-221.548746885286,0.17114741530579206,0.6825
19960802A.solomon.DRLN.BHT,-164.18660247657724,0.1095596971319866,0.655,-228.85034478998364,0.14214063683681535,0.9025
19960805A.tonga.AFIF.BHT,-155.24839730390582,0.09941827274609166,0.75,-241.95987374402438,0.04591505028057771,0.655
19960815A.vanuatu.SPB.BHT,-155.03671073996202,0.10870632342167776,0.7275,-232.0420304441568,0.20790263389613867,0.87
19960905A.easterisland.HUB03.BHT,-166.2306801875886,0.10285248742287408,0.615,-246.31106965172376,0.12385627280388985,0.6275
19961014A.solomon.CARO.BHT,-152.19734984329438,0.15506490509444287,0.6125,-226.24333757570727,0.12478867734938705,0.605
19961014A.solomon.TRI.BHT,-153.8770294262006,0.19150542285431452,0.66,-239.21517116838643,0.10588205886032101,0.795
19970117A.ryukyu.JTS.BHT,-160.5268514481955,0.38872202802565536,0.615,-227.6165299522348,0.19205181845066932,0.6175
19970209A.peru.BJT.BHT,-157.0738879662697,0.10872561356326894,0.6575,-237.9106272044506,0.06431185169301468,0.655
19970326A.aleutian.MILO.BHT,-158.84453503570091,0.12246196029693228,0.9025,-238.64551217019954,0.1345993854469315,0.7425
19970326A.aleutian.PEL.BHT,-157.38847563251414,0.14172478175735562,0.8925,-230.63095645959984,0.10118903291476576,0.83
