file,time,error,quality
n30_17.14,-227.050690528,0.158068747746,0.9075
n30_171.40,-229.822969069,0.17884285228100003,0.8775
n30_188.54,-228.474628714,0.171755965944,0.895
n30_205.68,-227.66113648700002,0.118228296698,0.8825
n30_222.82,-227.55196077099998,0.151909356078,0.9575
n30_239.96,-227.48887342700002,0.17503794955200003,0.95
n30_257.10,-228.227853065,0.185138352335,0.905
n30_274.24,-228.146128106,0.18747144769000001,0.8475
n30_291.38,-229.693187081,0.14810248457699998,0.945
n30_308.52,-228.438063083,0.14977275457699998,0.9375
n30_325.66,-228.107663028,0.163143467105,0.9325
n30_34.28,-227.23831746,0.135619185601,0.905
n30_342.80,-228.731446073,0.17315150320999997,0.935
n30_51.42,-226.82294813400003,0.186180143484,0.92
n30_68.56,-227.74245844,0.20513745377599998,0.9325
n30_85.70,-227.215222247,0.114368388904,0.9175
n45_0,-227.071474718,0.174000713611,0.8675
n45_105.85,-227.65242969099998,0.151420450065,0.9325
n45_127.02,-228.02076840900003,0.144748424446,0.9075
n45_148.19,-228.569103426,0.123591656996,0.8375
n45_169.36,-228.53635541900002,0.13080031782600002,0.895
n45_190.53,-228.114643165,0.133318924399,0.8825
n45_21.17,-226.8945812,0.156573691684,0.83
n45_211.70,-227.674565315,0.144118525025,0.915
n45_232.87,-227.35492962400002,0.250507555939,0.9475
n45_254.04,-227.703627631,0.125930001993,0.92
n45_275.21,-227.463806928,0.151770823133,0.9025
n45_296.38,-229.518445902,0.19928573493299997,0.805
n45_317.55,-229.273149439,0.182970359764,0.79
n45_338.72,-229.45453540900002,0.139224670859,0.9075
n45_42.34,-226.68173658400002,0.17580158445500002,0.92
n45_63.51,-225.362201691,0.289414403248,1.025
n45_84.68,-227.333677013,0.151751748549,0.93
n60_0,-229.087775768,0.13864844929300002,0.94
n60_120.00,-226.740724508,0.158717623358,0.925
n60_150.00,-228.48964737900002,0.19419497155499998,0.9725
n60_180.00,-226.978980216,0.09725330202929999,0.8875
n60_210.00,-227.413867227,0.181576891538,0.8575
n60_240.00,-226.907479548,0.10546044818499999,0.9175
n60_270.00,-227.364998383,0.21189859030699998,0.915
n60_30.00,-225.59602907299998,0.152913246309,0.91
n60_300.00,-228.94342263400003,0.179307123716,0.9075
n60_330.00,-229.530181756,0.17748882354200002,0.9575
n60_60.00,-226.011021072,0.116802230333,0.88
n60_90.00,-226.77338787099998,0.124861770485,0.905
n75_0,-225.929318254,0.18642981258699998,0.9375
n75_120.00,-225.85112813,0.0930530574482,0.8025
n75_180.00,-224.889304119,0.128415318572,0.945
n75_240.00,-224.573008338,0.10802553584100001,0.9025
n75_300.00,-226.21880017700002,0.147878642581,0.7875
n75_60.00,-226.319189293,0.16892998477600002,0.9325
n90_0,-225.527701122,0.12346579008400001,0.93
