file,time,error,quality
22.5_98.16,-156.449780237,0.12226086771099999,0.8225
30.0_102.84,-157.052342671,0.134554599592,0.8875
30.0_111.41,-157.19524802799998,0.10812144296399999,0.875
30.0_119.98,-157.284248675,0.14286523332,0.9075
30.0_128.55,-157.378450221,0.07883390947489999,0.9275
30.0_137.12,-156.632562337,0.204285579511,0.9175
30.0_145.69,-156.95353508,0.0790116305238,0.7625
30.0_154.26,-157.45542869,0.22547770336800002,0.93
30.0_162.83,-156.215159465,0.141253682286,0.925
30.0_171.40,-158.014310825,0.117548462682,0.8475
30.0_179.97,-158.561477505,0.09919839344560001,0.7925
30.0_188.54,-158.371170536,0.133959268659,0.91
30.0_197.11,-157.715234264,0.07304294173989999,0.895
30.0_205.68,-157.84020075799998,0.10514233962300001,0.9425
30.0_214.25,-157.741536731,0.09484440272,0.9575
30.0_222.82,-160.116477568,0.204002376457,0.94
30.0_231.39,-158.63550095,0.0976458019661,0.6525
30.0_239.96,-157.94737713799998,0.0724298007223,0.665
30.0_248.53,-157.54081705299998,0.22929505976999998,0.8925
30.0_257.10,-156.404630908,0.161757660067,0.9275
30.0_282.81,-155.419922692,0.129624251097,0.82
30.0_291.38,-155.237922651,0.11192675908199999,0.695
30.0_299.95,-157.835181543,0.07242641169969999,0.9075
30.0_308.52,-157.522131377,0.0611682464106,0.8225
30.0_317.09,-157.219144367,0.128150835965,0.935
30.0_325.66,-156.72803694,0.179164128672,0.8975
30.0_334.23,-155.72308854899998,0.136674163718,0.9025
30.0_34.28,-155.125206127,0.207340890501,0.935
30.0_342.80,-154.360695024,0.14178220400900002,0.865
30.0_351.37,-153.274854089,0.229627581065,0.7975
30.0_42.85,-153.751663519,0.178328247252,0.875
30.0_51.42,-154.533862935,0.0966237614846,0.8225
30.0_59.99,-157.877508648,0.1432476131,0.6825
30.0_68.56,-157.635985761,0.09723104347179999,0.71
30.0_77.13,-156.392970003,0.16684175762700001,0.89
30.0_85.70,-155.059335357,0.0822147012339,0.69
30.0_94.27,-156.043858939,0.076954624189,0.605
37.5_0,-156.050221902,0.269981396943,0.9425
37.5_104.17,-156.941371739,0.09961221882660001,0.7975
37.5_113.64,-157.093615521,0.11540359634500001,0.9425
37.5_123.11,-156.86352984,0.0761145891428,0.815
37.5_132.58,-156.551944333,0.129124788528,0.6925
37.5_151.52,-157.83919436,0.15370705447,0.9175
37.5_160.99,-157.722060935,0.0914125699996,0.9025
37.5_170.46,-157.606230869,0.148779642076,0.9925
37.5_179.93,-157.516057557,0.124906472387,0.9675
37.5_189.40,-157.770111394,0.0703698185625,0.8975
37.5_198.87,-157.61120216700002,0.12348883196499999,0.965
37.5_208.34,-157.230864034,0.0990213964955,0.82
37.5_217.81,-158.84893382799999,0.107116018462,0.8625
37.5_227.28,-159.671469562,0.117469026918,0.9175
37.5_236.75,-158.432635427,0.12824130944,0.74
37.5_246.22,-157.680524987,0.171231689954,0.8475
37.5_255.69,-156.425350891,0.0531534471084,0.64
37.5_265.16,-156.510551222,0.0836298417045,0.6675
37.5_274.63,-158.00562424700001,0.0686868460558,0.6275
37.5_28.41,-156.553279766,0.0722486777706,0.645
37.5_284.10,-157.67926677399998,0.12046803257000001,0.64
37.5_303.04,-157.444278919,0.0919564011871,0.865
37.5_312.51,-155.25069304299998,0.119837492292,0.9225
37.5_321.98,-154.622887848,0.0808227451924,0.665
37.5_331.45,-155.465842103,0.08876726436389999,0.7025
37.5_340.92,-153.710958189,0.0909798403906,0.665
37.5_350.39,-153.072441544,0.10010788384500001,0.715
37.5_47.35,-158.629020464,0.12053908341399999,0.65
37.5_56.82,-158.246135714,0.21423182947,0.795
37.5_66.29,-157.406495114,0.127197428641,0.7175
37.5_75.76,-155.74473111700001,0.217247707441,0.92
37.5_85.23,-155.365063531,0.158485933314,0.9725
37.5_94.70,-156.798980433,0.116931649729,0.8875
45.0_0,-157.992006403,0.25556516385,0.885
45.0_10.58,-156.21171438,0.110027012801,0.705
45.0_105.80,-157.473562772,0.148432589158,0.8475
45.0_116.38,-156.972014217,0.12430449037,0.97
45.0_126.96,-156.947907313,0.141015564045,0.89
45.0_137.54,-156.91539051799998,0.106538806052,0.68
45.0_148.12,-155.767838876,0.148243560631,0.915
45.0_158.70,-156.594587414,0.153977930763,0.91
45.0_169.28,-156.548438928,0.09664178894770001,0.8975
45.0_179.86,-156.617552093,0.0742626465182,0.89
45.0_190.44,-157.428279184,0.08257619000739999,0.8975
45.0_201.02,-157.672322387,0.0978957608431,0.8975
45.0_211.60,-159.802661811,0.149189189037,0.7
45.0_222.18,-159.60928380299998,0.0833850073647,0.6275
45.0_232.76,-158.189116563,0.11540915504799999,0.845
45.0_243.34,-156.46823645,0.247959793926,0.7925
45.0_264.50,-157.895257553,0.18973872823,0.695
45.0_275.08,-158.228676549,0.229989466934,0.9075
45.0_285.66,-160.504891087,0.09479465716389998,0.7175
45.0_296.24,-157.505375202,0.1776849622,0.99
45.0_306.82,-154.175886484,0.129287911488,0.925
45.0_317.40,-153.069961414,0.104784374497,0.9275
45.0_327.98,-153.888526798,0.114578023518,0.9225
45.0_338.56,-154.76997044200002,0.08105044430160001,0.67
45.0_349.14,-152.219530932,0.12222273704099999,0.9225
45.0_42.32,-155.128561107,0.163845304345,0.86
45.0_52.90,-154.26543878799998,0.08972385873910001,0.6225
45.0_63.48,-156.035130917,0.146103900116,0.7375
45.0_74.06,-156.637064571,0.143099291878,0.68
45.0_84.64,-156.980400436,0.11460243110400001,0.885
45.0_95.22,-157.31382159,0.0982322855428,0.73
52.5_0,-153.937448029,0.055958508491,0.6675
52.5_111.69,-157.228982717,0.158313783013,0.8925
52.5_12.41,-155.664895306,0.144149467565,0.9425
52.5_124.10,-156.895850561,0.08139513073060001,0.675
52.5_136.51,-156.563472078,0.113062908644,0.7175
52.5_148.92,-155.848023945,0.13304097456800001,0.9425
52.5_161.33,-155.533971303,0.12415543839000001,0.89
52.5_173.74,-155.59932936799999,0.108886106992,0.9525
52.5_186.15,-156.29519841200002,0.07486447368719999,0.905
52.5_198.56,-157.47379040299998,0.146979843823,0.835
52.5_210.97,-159.028064405,0.14193733967900002,0.86
52.5_223.38,-158.692446224,0.0979838615863,0.6325
52.5_235.79,-156.363906959,0.131653263781,0.82
52.5_24.82,-154.772593763,0.237836001175,0.7375
