file,lat,lon,660pred,660err,660amp,660qual
19930913A.newzealand.OBN.BHT,55.1146011353,36.567401886,-227.63015606,0.078467375966,0.123340397322,0.6625
19930927A.atlantic.A35.BHT,44.4258995056,-121.959197998,-224.34777702,0.106887303896,0.20083567120999998,0.7925
19930929A.india.FRMB.BHT,-20.4876003265,-45.6389007568,-230.796153326,0.112695065215,0.18597039894099998,0.6175
19931005A.banda.CMB.BHT,38.0345497131,-120.386512756,-225.268843322,0.151606646962,0.131696340973,0.6
19931105A.bismarck.FRB.BHT,63.7468986511,-68.5450973511,-233.47117866099998,0.394241829177,0.0526650158354,0.6425
19931105A.bismarck.LPAZ.BHT,-16.2879009247,-68.1306915283,-232.87300131700002,0.206442674145,0.139815010209,0.735
19931119A.alaska.CACB.BHT,-21.6802005768,-46.7326011658,-232.75788069599997,0.180279322159,0.183528349214,0.7475
19940215A.loyalty.PPDB.BHT,-22.0326004028,-51.3135986328,-223.24502384099998,0.054023263461999996,0.358392905405,0.6325
19940314A.atlantic.CTAO.BHT,-20.0881996155,146.254501343,-232.881531657,0.12002711618100001,0.10142196172199999,0.765
19940314A.atlantic.SB08.BHT,-37.432800293,141.975692749,-225.75310007299998,0.145068054117,0.04418105465469999,0.645
19940405A.aleutian.CDCB.BHT,-20.2364997864,-44.7182006836,-225.68177258,0.141258478273,0.1148586298,0.6775
19940523A.taiwan.SJG.BHT,18.1091003418,-66.1500015259,-228.005047516,0.12067062089299999,0.232261493308,0.6025
19940525A.indonesia.UNM.BHT,19.329662323,-99.178062439,-226.075960268,0.0903381870606,0.147591851208,0.635
19940603A.indonesia.RIFB.BHT,-20.0736999512,-47.5018997192,-225.07016365400003,0.061445029147699996,0.245069063213,0.66
19940606A.colombia.CAN.BHT,-35.3187141418,148.996322632,-227.818330534,0.07453617191,0.0840501408704,0.61
19940606A.colombia.NWAO.BHT,-32.9277000427,117.238998413,-232.36021973799998,0.17071560785,0.0595521637538,0.7075
19940618A.newzealand.TARA.BHT,-3.88919997215,36.0163002014,-226.176120534,0.136072834871,0.125578196461,0.7125
19940619A.newzealand.HRV.BHT,42.506401062,-71.5582962036,-230.390399819,0.10300454182499999,0.21714600366700001,0.7925
19940903A.vanuatu.HRV.BHT,42.506401062,-71.5582962036,-226.374750111,0.125973509725,0.154233557486,0.755
19941001A.vanuatu.NAVB.BHT,-21.433599472,-54.1842002869,-230.494063735,0.24236501902,0.109474766029,0.695
19941114A.philippine.CMB.BHT,38.0345497131,-120.386512756,-227.831354757,0.203440208725,0.142259516047,0.79
19941214A.solomon.RIFB.BHT,-20.0736999512,-47.5018997192,-232.496024283,0.11026052484200001,0.109179299264,0.745
19950101A.japan.BOCO.BHT,4.58690023422,-74.0431976318,-233.569636685,0.10987414308700001,0.274300274434,0.6975
19950101A.japan.SICA.BHT,-17.2924003601,-67.7490005493,-223.83682772400002,0.0939773249679,0.323896144086,0.6675
19950116A.honshu.MDT.BHT,32.8170013428,-4.6139998436,-224.150410805,0.163596901277,0.15432521071,0.7675
19950116A.honshu.NNA.BHT,-11.9875001907,-76.8422012329,-231.834944194,0.0804051661851,0.1307306916,0.63
19950127A.indonesia.ROSL.BHT,-19.4857006073,-64.1779022217,-234.695040248,0.109242699956,0.147691165648,0.8625
19950203A.balleny.ANMO.BHT,34.9458999634,-106.457199097,-227.94561782,0.126684082576,0.0541864663888,0.615
