file,handpick,autopick,quality
19910704A.indonesia.ISA.BHT_auto.sac,-0.12,94.00
19910704A.indonesia.PAS.BHT_auto.sac,-0.25,94.00
19910704A.indonesia.TAM.BHT_auto.sac,-0.43,92.00
19910713A.oregon.CAN.BHT_auto.sac,-9.14,84.00
19910713A.oregon.DRV.BHT_auto.sac,-9.35,89.00
19910808A.minahassa.AQU.BHT_auto.sac,-0.26,94.00
19910808A.minahassa.BNI.BHT_auto.sac,-0.27,94.00
19910808A.minahassa.GSC.BHT_auto.sac,-0.25,91.00
19910808A.minahassa.HRV.BHT_auto.sac,-0.31,94.00
19910814A.vanuatu.ALE.BHT_auto.sac,-0.18,91.00
19910814A.vanuatu.ECH.BHT_auto.sac,-0.35,95.00
19910814A.vanuatu.KONO.BHT_auto.sac,-0.33,81.00
19910814A.vanuatu.SSB.BHT_auto.sac,-0.23,80.00
19910814A.vanuatu.TOL.BHT_auto.sac,-0.36,88.00
19910816A.california.CAN.BHT_auto.sac,-27.78,58.00
19910816A.california.DRV.BHT_auto.sac,-0.35,72.00
19910817A.california.CTAO.BHT_auto.sac,-9.79,93.00
19910817A.california.DRV.BHT_auto.sac,-10.06,88.00
19910918A.guatemala.AAK.BHT_auto.sac,-0.17,94.00
19910918A.guatemala.DRV.BHT_auto.sac,-0.06,72.00
19910918A.guatemala.TLY.BHT_auto.sac,-0.55,94.00
19910921A.tonga.AQU.BHT_auto.sac,-10.83,94.00
19910921A.tonga.OBN.BHT_auto.sac,-10.81,94.00
19910921A.tonga.SUR.BHT_auto.sac,-10.86,94.00
19911101A.newzealand.ALE.BHT_auto.sac,-13.26,86.00
19911211A.pacific.ARU.BHT_auto.sac,-0.15,94.00
19911211A.pacific.KIV.BHT_auto.sac,-0.09,95.00
19911211A.pacific.KONO.BHT_auto.sac,-0.15,94.00
19911211A.pacific.OBN.BHT_auto.sac,-0.19,80.00
19911211A.pacific.SSB.BHT_auto.sac,-0.03,95.00
19911228A.southsandwich.AMDO.BHT_auto.sac,-0.31,94.00
19911228A.southsandwich.BUDO.BHT_auto.sac,-0.23,94.00
19911228A.southsandwich.CTAO.BHT_auto.sac,-0.48,78.00
19911228A.southsandwich.MAQI.BHT_auto.sac,-0.47,94.00
19911228A.southsandwich.OBN.BHT_auto.sac,-0.24,71.00
19911228A.southsandwich.PFO.BHT_auto.sac,-0.45,94.00
19920206A.indonesia.HRV.BHT_auto.sac,-0.48,94.00
19920213A.vanuatu.ECH.BHT_auto.sac,0.00,92.00
19920213A.vanuatu.SSB.BHT_auto.sac,-0.24,95.00
19920213A.vanuatu.TOL.BHT_auto.sac,-0.23,96.00
19920227A.png.SSB2.BHT_auto.sac,18.42,95.00
19920227A.png.SSB.BHT_auto.sac,18.32,95.00
19920302A.kamchatka.DRV.BHT_auto.sac,-0.22,94.00
19920313A.turkey.KIP.BHT_auto.sac,-0.19,95.00
19920403A.png.HRV.BHT_auto.sac,16.32,92.00
19920406A.vancouver.DRV.BHT_auto.sac,-8.77,72.00
19920406A.vancouver.SUR.BHT_auto.sac,-0.13,76.00
19920418A.sumatera.CCM.BHT_auto.sac,-13.17,94.00
19920418A.sumatera.TOL.BHT_auto.sac,-0.03,94.00
19920423A.california.CTAO.BHT_auto.sac,-0.22,107.00
19920423A.california.NWAO.BHT_auto.sac,-0.50,90.00
19920424A.pakistan.COR.BHT_auto.sac,-0.17,96.00
19920424A.pakistan.ISA.BHT_auto.sac,17.20,95.00
19920424A.pakistan.PAS.BHT_auto.sac,-0.17,95.00
19920424A.pakistan.PFO.BHT_auto.sac,-0.18,90.00
19920424A.pakistan.SBC.BHT_auto.sac,-0.28,95.00
19920424A.pakistan.SCZ.BHT_auto.sac,19.34,95.00
19920426A.california.RER.BHT_auto.sac,-12.28,95.00
19920426A.california.TAM.BHT_auto.sac,-12.28,95.00
19920518A.panama.CTAO.BHT_auto.sac,-0.22,95.00
19920518A.panama.NWAO.BHT_auto.sac,-0.26,95.00
19920518A.panama.WUS.BHT_auto.sac,-0.06,92.00
19920525A.cuba.AMDO.BHT_auto.sac,-0.55,94.00
19920525A.cuba.CAN.BHT_auto.sac,-11.95,90.00
19920525A.cuba.ERM.BHT_auto.sac,-0.23,94.00
19920525A.cuba.GUMO.BHT_auto.sac,-0.25,92.00
19920525A.cuba.HYB.BHT_auto.sac,-0.44,70.00
19920525A.cuba.INU.BHT_auto.sac,-0.04,95.00
19920525A.cuba.MAQI.BHT_auto.sac,-0.41,94.00
19920525A.cuba.SPA.BHT_auto.sac,-0.27,94.00
19920525A.cuba.TUNL.BHT_auto.sac,-0.44,93.00
19920525A.cuba.USHU.BHT_auto.sac,-0.28,78.00
19920527A.santacruz.KEG.BHT_auto.sac,-11.25,52.00
19920527A.santacruz.KIV.BHT_auto.sac,-0.02,95.00
19920527A.santacruz.OBN.BHT_auto.sac,-0.06,92.00
19920527A.santacruz.SSB2.BHT_auto.sac,-0.14,90.00
19920527A.santacruz.TAM.BHT_auto.sac,10.33,38.00
19920615A.myanmar.ANMO.BHT_auto.sac,-0.32,94.00
19920615A.myanmar.HRV.BHT_auto.sac,0.05,95.00
19920615A.myanmar.UNM.BHT_auto.sac,-0.06,90.00
19920617A.southshetland.AAK.BHT_auto.sac,-0.24,94.00
19920617A.southshetland.COL.BHT_auto.sac,-9.43,88.00
19920617A.southshetland.ECH.BHT_auto.sac,-0.32,72.00
19920617A.southshetland.KONO.BHT_auto.sac,-0.39,79.00
19920617A.southshetland.PAR.BHT_auto.sac,0.02,70.00
19920617A.southshetland.YSS.BHT_auto.sac,-0.32,72.00
19920710A.kuril.DRV.BHT_auto.sac,-0.45,91.00
19920720A.svalbard.CTAO.BHT_auto.sac,0.09,72.00
19920720A.svalbard.RAR.BHT_auto.sac,-0.05,79.00
19920720A.svalbard.SNZO.BHT_auto.sac,0.00,70.00
19920730A.xizang.DRV.BHT_auto.sac,-0.29,96.00
19920802A.indonesia.ANMO.BHT_auto.sac,0.07,95.00
19920802A.indonesia.GSC.BHT_auto.sac,-15.27,92.00
19920802A.indonesia.PAS.BHT_auto.sac,-15.03,94.00
19920802A.indonesia.SSB2.BHT_auto.sac,-0.23,95.00
19920802A.indonesia.SSB.BHT_auto.sac,-0.24,96.00
19920807A.alaska.SPA.BHT_auto.sac,-0.22,94.00
19920828A.ascension.CAN.BHT_auto.sac,-0.30,93.00
19920828A.ascension.COR.BHT_auto.sac,-10.00,94.00
19920828A.ascension.CTAO.BHT_auto.sac,-0.07,80.00
19920828A.ascension.RAR.BHT_auto.sac,-0.04,94.00
19920828A.ascension.SEY.BHT_auto.sac,-0.44,96.00
19920828A.ascension.SNZO.BHT_auto.sac,-0.25,96.00
19920828A.ascension.YSS.BHT_auto.sac,-0.26,94.00
19920926A.indonesia.BTO.BHT_auto.sac,-0.19,89.00
19920926A.indonesia.CCM.BHT_auto.sac,-0.25,87.00
19920926A.indonesia.SFK.BHT_auto.sac,-14.32,96.00
19920926A.indonesia.SSB2.BHT_auto.sac,-0.32,92.00
19920928A.taiwan.ANMO.BHT_auto.sac,20.05,44.00
19920928A.taiwan.CCM.BHT_auto.sac,-0.27,94.00
19921017A.colombia.ARU.BHT_auto.sac,-0.37,94.00
19921017A.colombia.CTAO.BHT_auto.sac,-10.62,94.00
19921017A.colombia.DRV.BHT_auto.sac,-0.38,72.00
19921017A.colombia.GUMO.BHT_auto.sac,-0.37,93.00
19921017A.colombia.NVS.BHT_auto.sac,-0.37,94.00
19921017A.colombia.TATO.BHT_auto.sac,-10.34,78.00
19921017A.colombia.TLY.BHT_auto.sac,-0.14,93.00
19921017A.vanuatu.ECH.BHT_auto.sac,-0.23,96.00
19921017A.vanuatu.TAM.BHT_auto.sac,-0.21,91.00
19921022A.newzealand.ALE.BHT_auto.sac,-0.15,94.00
19921022A.newzealand.GRA1.BHT_auto.sac,-10.42,78.00
19921022A.newzealand.KONO.BHT_auto.sac,-10.40,94.00
19921022A.newzealand.SSB.BHT_auto.sac,-10.43,94.00
19921024A.newzealand.AQU.BHT_auto.sac,-10.92,94.00
19921024A.newzealand.KONO.BHT_auto.sac,-10.95,94.00
19921024A.newzealand.OBN.BHT_auto.sac,-10.52,94.00
19921024A.newzealand.SUR.BHT_auto.sac,-0.18,80.00
19921024A.newzealand.TAM.BHT_auto.sac,-0.49,65.00
19921031A.newguinea.CCM.BHT_auto.sac,-0.17,94.00
19921031A.newguinea.TAM.BHT_auto.sac,-0.32,94.00
19921105A.png.RIFB.BHT_auto.sac,0.05,94.00
19921106A.aegean.PAS.BHT_auto.sac,-0.50,93.00
19921108A.fiji.ARU.BHT_auto.sac,-9.61,91.00
19921108A.fiji.BGY.BHT_auto.sac,-0.44,94.00
